327 stars read from HYG database file hygxyz.csv
..Sol -> Proxima Centauri, distance = 1.29, cumulative = 1.29
..12    Oph -> Unnamed star 84326, distance = 2.00, cumulative = 514.83
..Unnamed star 84326 -> Gliese Gl   1, distance = 11.14, cumulative = 525.98
..Gliese Gl   1 -> Gam Pav, distance = 6.26, cumulative = 532.24
..Gam Pav -> Unnamed star 31220, distance = 5.55, cumulative = 537.78
..Unnamed star 31220 -> Unnamed star 31215, distance = 0.39, cumulative = 538.18
..Unnamed star 31215 -> Gliese GJ 1123, distance = 1.52, cumulative = 539.70
..Gliese GJ 1123 -> Gliese Gl 367, distance = 5.23, cumulative = 544.93
..Gliese Gl 367 -> Gliese Gl 358, distance = 0.87, cumulative = 545.79
..Gliese Gl 358 -> Gliese Gl 318, distance = 2.34, cumulative = 548.13
..Gliese Gl 318 -> Gliese Gl 357, distance = 2.57, cumulative = 550.70
..Gliese Gl 357 -> Gliese Gl 283  A, distance = 4.26, cumulative = 554.97
..Gliese Gl 283  A -> Gliese Gl 283  B, distance = 0.00, cumulative = 554.97
Total distance traversed is 554.97 parsecs.
